Trade DATE,Symbol,Close
1/3/2017,PYPL,40.25
1/4/2017,PYPL,41
1/5/2017,PYPL,41.06
1/6/2017,PYPL,41.45
1/9/2017,PYPL,41.4
1/10/2017,PYPL,41.08
1/11/2017,PYPL,41.28
1/12/2017,PYPL,41.56
1/13/2017,PYPL,41.6
1/17/2017,PYPL,41.27
1/18/2017,PYPL,41.35
1/19/2017,PYPL,41.27
1/20/2017,PYPL,41.69
1/23/2017,PYPL,41.62
1/24/2017,PYPL,41.96
1/25/2017,PYPL,41.71
1/26/2017,PYPL,41.5
1/27/2017,PYPL,40.27
1/30/2017,PYPL,39.86
1/31/2017,PYPL,39.78
2/1/2017,PYPL,39.31
2/2/2017,PYPL,39.58
2/3/2017,PYPL,39.59
2/6/2017,PYPL,39.74
2/7/2017,PYPL,40.02
2/8/2017,PYPL,40.88
2/9/2017,PYPL,40.83
2/10/2017,PYPL,40.58
2/13/2017,PYPL,41.17
2/14/2017,PYPL,41.62
2/15/2017,PYPL,41.87
2/16/2017,PYPL,42.15
2/17/2017,PYPL,41.96
2/21/2017,PYPL,42.43
2/22/2017,PYPL,42.42
2/23/2017,PYPL,42.53
2/24/2017,PYPL,43.07
2/27/2017,PYPL,42.64
2/28/2017,PYPL,42
3/1/2017,PYPL,42.43
3/2/2017,PYPL,42.77
3/3/2017,PYPL,43.03
3/6/2017,PYPL,42.87
3/7/2017,PYPL,42.89
3/8/2017,PYPL,42.79
3/9/2017,PYPL,42.92
3/10/2017,PYPL,42.99
3/13/2017,PYPL,42.59
3/14/2017,PYPL,42.1
3/15/2017,PYPL,42.39
3/16/2017,PYPL,42.4
3/17/2017,PYPL,43.08
3/20/2017,PYPL,43.16
3/21/2017,PYPL,42.64
3/22/2017,PYPL,43.19
3/23/2017,PYPL,43.14
3/24/2017,PYPL,43.13
3/27/2017,PYPL,43.08
3/28/2017,PYPL,43.15
3/29/2017,PYPL,43.24
3/30/2017,PYPL,43.54
3/31/2017,PYPL,43.02
4/3/2017,PYPL,42.63
4/4/2017,PYPL,42.72
4/5/2017,PYPL,42.89
4/6/2017,PYPL,42.9
4/7/2017,PYPL,43.04
4/10/2017,PYPL,43.05
4/11/2017,PYPL,42.69
4/12/2017,PYPL,42.49
4/13/2017,PYPL,42.55
4/17/2017,PYPL,43.1
4/18/2017,PYPL,43.09
4/19/2017,PYPL,43.3
4/20/2017,PYPL,43.69
4/21/2017,PYPL,43.81
4/24/2017,PYPL,44.27
4/25/2017,PYPL,44.71
4/26/2017,PYPL,44.41
4/27/2017,PYPL,47.15
4/28/2017,PYPL,47.72
5/1/2017,PYPL,47.54
5/2/2017,PYPL,49.05
5/3/2017,PYPL,49.02
5/4/2017,PYPL,48.91
5/5/2017,PYPL,49.3
5/8/2017,PYPL,49.17
5/9/2017,PYPL,49.22
5/10/2017,PYPL,49.79
5/11/2017,PYPL,49.7
5/12/2017,PYPL,49.37
5/15/2017,PYPL,49.77
5/16/2017,PYPL,50.34
5/17/2017,PYPL,49.05
5/18/2017,PYPL,49.11
5/19/2017,PYPL,49.39
5/22/2017,PYPL,49.77
5/23/2017,PYPL,50.13
5/24/2017,PYPL,51.05
5/25/2017,PYPL,50.93
5/26/2017,PYPL,51.19
5/30/2017,PYPL,51.06
5/31/2017,PYPL,52.21
6/1/2017,PYPL,53.16
6/2/2017,PYPL,53.52
6/5/2017,PYPL,53.8
6/6/2017,PYPL,53.4
6/7/2017,PYPL,53.85
6/8/2017,PYPL,54.39
6/9/2017,PYPL,53.4
6/12/2017,PYPL,52.16
6/13/2017,PYPL,52.06
6/14/2017,PYPL,51.9
6/15/2017,PYPL,52.29
6/16/2017,PYPL,51.84
6/19/2017,PYPL,52.93
6/20/2017,PYPL,52.52
6/21/2017,PYPL,53.54
6/22/2017,PYPL,53.87
6/23/2017,PYPL,54.33
6/26/2017,PYPL,53.74
6/27/2017,PYPL,52.73
6/28/2017,PYPL,54.39
6/29/2017,PYPL,53.42
6/30/2017,PYPL,53.67
7/3/2017,PYPL,52.87
7/5/2017,PYPL,54.61
7/6/2017,PYPL,53.47
7/7/2017,PYPL,53.97
7/10/2017,PYPL,54.94
7/11/2017,PYPL,54.76
7/12/2017,PYPL,56.55
7/13/2017,PYPL,57.9
7/14/2017,PYPL,57.16
7/17/2017,PYPL,57.58
7/18/2017,PYPL,58.96
7/19/2017,PYPL,58.35
7/20/2017,PYPL,59.09
7/21/2017,PYPL,58.67
7/24/2017,PYPL,58.58
7/25/2017,PYPL,58.26
