Trade DATE,Symbol,Close
9/29/2017,XOP,136.36
10/2/2017,XOP,137.16
10/3/2017,XOP,137.08
10/4/2017,XOP,136.28
10/5/2017,XOP,137.4
10/6/2017,XOP,134.32
10/9/2017,XOP,134.76
10/10/2017,XOP,134.56
10/11/2017,XOP,135.36
10/12/2017,XOP,134.36
10/13/2017,XOP,134.4
10/16/2017,XOP,134.52
10/17/2017,XOP,134.68
10/18/2017,XOP,133.4
10/19/2017,XOP,132.56
10/20/2017,XOP,133.2
10/23/2017,XOP,130.04
10/24/2017,XOP,130.12
10/25/2017,XOP,129
10/26/2017,XOP,129.68
10/27/2017,XOP,133.48
10/30/2017,XOP,135
10/31/2017,XOP,137.12
11/1/2017,XOP,141.2
11/2/2017,XOP,139.52
11/3/2017,XOP,141.4
11/6/2017,XOP,147.32
11/7/2017,XOP,146.6
11/8/2017,XOP,144.4
11/9/2017,XOP,146.4
11/10/2017,XOP,145.96
11/13/2017,XOP,143.52
11/14/2017,XOP,138.48
11/15/2017,XOP,136.72
11/16/2017,XOP,137.2
11/17/2017,XOP,140
11/20/2017,XOP,138.32
11/21/2017,XOP,138.8
11/22/2017,XOP,141.16
11/24/2017,XOP,141.28
11/27/2017,XOP,137.68
11/28/2017,XOP,138.76
11/29/2017,XOP,139.44
11/30/2017,XOP,142.88
12/1/2017,XOP,145.72
12/4/2017,XOP,143.84
12/5/2017,XOP,142.56
12/6/2017,XOP,138.2
12/7/2017,XOP,139.2
12/8/2017,XOP,141.2
12/11/2017,XOP,142.92
12/12/2017,XOP,140.72
12/13/2017,XOP,139.32
12/14/2017,XOP,137.92
12/15/2017,XOP,136.32
12/18/2017,XOP,139
12/19/2017,XOP,139.24
12/20/2017,XOP,142.72
12/21/2017,XOP,146.64
12/22/2017,XOP,147.28
12/26/2017,XOP,150.56
12/27/2017,XOP,149.36
12/28/2017,XOP,150.48
12/29/2017,XOP,148.72
1/2/2018,XOP,152.88
1/3/2018,XOP,154.4
1/4/2018,XOP,155.16
1/5/2018,XOP,154.16
1/8/2018,XOP,155.08
1/9/2018,XOP,154.84
1/10/2018,XOP,153.92
1/11/2018,XOP,157.6
1/12/2018,XOP,158.88
1/16/2018,XOP,156
1/17/2018,XOP,157.32
1/18/2018,XOP,155.52
1/19/2018,XOP,154.88
1/22/2018,XOP,158.76
1/23/2018,XOP,159.4
1/24/2018,XOP,158.88
1/25/2018,XOP,155.64
1/26/2018,XOP,156.24
1/29/2018,XOP,153.2
1/30/2018,XOP,147.88
1/31/2018,XOP,147.64
2/1/2018,XOP,148.36
2/2/2018,XOP,142.04
2/5/2018,XOP,137.48
2/6/2018,XOP,139.28
2/7/2018,XOP,134.84
2/8/2018,XOP,129.52
2/9/2018,XOP,129.56
2/12/2018,XOP,132.92
2/13/2018,XOP,131.12
2/14/2018,XOP,136.08
2/15/2018,XOP,136.36
2/16/2018,XOP,135.68
2/20/2018,XOP,135.28
2/21/2018,XOP,132.04
2/22/2018,XOP,134.92
2/23/2018,XOP,138.56
2/26/2018,XOP,139.16
2/27/2018,XOP,135.88
2/28/2018,XOP,132.24
3/1/2018,XOP,133.6
3/2/2018,XOP,136.56
3/5/2018,XOP,139.04
3/6/2018,XOP,137.76
3/7/2018,XOP,136.36
3/8/2018,XOP,136.12
3/9/2018,XOP,139.08
3/12/2018,XOP,139.24
3/13/2018,XOP,138.64
3/14/2018,XOP,138.12
3/15/2018,XOP,136.24
3/16/2018,XOP,137.68
3/19/2018,XOP,134.24
3/20/2018,XOP,136.28
3/21/2018,XOP,141.96
3/22/2018,XOP,138.96
3/23/2018,XOP,138.8
3/26/2018,XOP,141.4
3/27/2018,XOP,137.96
3/28/2018,XOP,137.04
3/29/2018,XOP,140.88
4/2/2018,XOP,136.12
4/3/2018,XOP,138.44
4/4/2018,XOP,138.52
4/5/2018,XOP,142.48
4/6/2018,XOP,138.64
4/9/2018,XOP,138.84
4/10/2018,XOP,144.68
4/11/2018,XOP,147.32
4/12/2018,XOP,147.04
4/13/2018,XOP,149.52
4/16/2018,XOP,150.6
