Trade DATE,Symbol,Close
1/3/2017,NVDA,102.01
1/4/2017,NVDA,104.39
1/5/2017,NVDA,101.74
1/6/2017,NVDA,103.1
1/9/2017,NVDA,107.28
1/10/2017,NVDA,106.47
1/11/2017,NVDA,105.16
1/12/2017,NVDA,103.44
1/13/2017,NVDA,103.43
1/17/2017,NVDA,101.11
1/18/2017,NVDA,102.95
1/19/2017,NVDA,105.16
1/20/2017,NVDA,104.01
1/23/2017,NVDA,105.09
1/24/2017,NVDA,107.33
1/25/2017,NVDA,107.79
1/26/2017,NVDA,109.65
1/27/2017,NVDA,111.77
1/30/2017,NVDA,110.02
1/31/2017,NVDA,109.18
2/1/2017,NVDA,113.95
2/2/2017,NVDA,115.39
2/3/2017,NVDA,114.38
2/6/2017,NVDA,117.31
2/7/2017,NVDA,119.13
2/8/2017,NVDA,118.61
2/9/2017,NVDA,116.38
2/10/2017,NVDA,113.62
2/13/2017,NVDA,108.38
2/14/2017,NVDA,108.78
2/15/2017,NVDA,109
2/16/2017,NVDA,107.25
2/17/2017,NVDA,107.23
2/21/2017,NVDA,111.07
2/22/2017,NVDA,110.76
2/23/2017,NVDA,100.49
2/24/2017,NVDA,101.46
2/27/2017,NVDA,104.41
2/28/2017,NVDA,101.48
3/1/2017,NVDA,102.79
3/2/2017,NVDA,99
3/3/2017,NVDA,98.43
3/6/2017,NVDA,97.67
3/7/2017,NVDA,98.74
3/8/2017,NVDA,98.56
3/9/2017,NVDA,98.54
3/10/2017,NVDA,99.12
3/13/2017,NVDA,101.85
3/14/2017,NVDA,101.78
3/15/2017,NVDA,102.55
3/16/2017,NVDA,103.81
3/17/2017,NVDA,106.07
3/20/2017,NVDA,109.45
3/21/2017,NVDA,105.91
3/22/2017,NVDA,108.07
3/23/2017,NVDA,107.09
3/24/2017,NVDA,107.47
3/27/2017,NVDA,108.25
3/28/2017,NVDA,107.69
3/29/2017,NVDA,107.34
3/30/2017,NVDA,109.4
3/31/2017,NVDA,108.93
4/3/2017,NVDA,108.38
4/4/2017,NVDA,100.78
4/5/2017,NVDA,100.03
4/6/2017,NVDA,100.76
4/7/2017,NVDA,100.33
4/10/2017,NVDA,97.77
4/11/2017,NVDA,98.12
4/12/2017,NVDA,97.31
4/13/2017,NVDA,95.49
4/17/2017,NVDA,99.23
4/18/2017,NVDA,99.29
4/19/2017,NVDA,99.68
4/20/2017,NVDA,101.26
4/21/2017,NVDA,101.68
4/24/2017,NVDA,102.95
4/25/2017,NVDA,104.74
4/26/2017,NVDA,104.02
4/27/2017,NVDA,105.64
4/28/2017,NVDA,104.3
5/1/2017,NVDA,106.64
5/2/2017,NVDA,103.48
5/3/2017,NVDA,104.25
