Trade DATE,Symbol,Close
8/17/2018,REM,44.9
8/20/2018,REM,45.01
8/21/2018,REM,45.14
8/22/2018,REM,44.99
8/23/2018,REM,45
8/24/2018,REM,44.94
8/27/2018,REM,45.02
8/28/2018,REM,45.09
8/29/2018,REM,45.2
8/30/2018,REM,45.27
8/31/2018,REM,45.14
9/4/2018,REM,45.12
9/5/2018,REM,45.51
9/6/2018,REM,45.65
9/7/2018,REM,45.39
9/10/2018,REM,45.48
9/11/2018,REM,45.43
9/12/2018,REM,44.87
9/13/2018,REM,44.98
9/14/2018,REM,44.89
9/17/2018,REM,44.83
9/18/2018,REM,44.65
9/19/2018,REM,44.41
9/20/2018,REM,44.52
9/21/2018,REM,44.74
9/24/2018,REM,44.47
9/25/2018,REM,44.44
9/26/2018,REM,43.12
9/27/2018,REM,43.31
9/28/2018,REM,43.56
10/1/2018,REM,43.41
10/2/2018,REM,43.42
10/3/2018,REM,43.29
10/4/2018,REM,42.87
10/5/2018,REM,42.62
10/8/2018,REM,43.01
10/9/2018,REM,43.16
10/10/2018,REM,42.65
10/11/2018,REM,41.97
10/12/2018,REM,41.75
10/15/2018,REM,42.2
10/16/2018,REM,42.75
10/17/2018,REM,42.76
10/18/2018,REM,42.48
10/19/2018,REM,42.42
10/22/2018,REM,42.33
10/23/2018,REM,42.01
10/24/2018,REM,42.33
10/25/2018,REM,42.68
10/26/2018,REM,42.14
10/29/2018,REM,42.25
10/30/2018,REM,42.57
10/31/2018,REM,42.69
11/1/2018,REM,42.57
11/2/2018,REM,42.66
11/5/2018,REM,42.81
11/6/2018,REM,43.1
11/7/2018,REM,43.24
11/8/2018,REM,43.21
11/9/2018,REM,43.53
11/12/2018,REM,43.27
11/13/2018,REM,43.47
11/14/2018,REM,43.26
11/15/2018,REM,42.86
11/16/2018,REM,43.14
11/19/2018,REM,43.03
11/20/2018,REM,42.66
11/21/2018,REM,42.8
11/23/2018,REM,42.79
11/26/2018,REM,43.09
11/27/2018,REM,43.1
11/28/2018,REM,43.46
11/29/2018,REM,43.67
11/30/2018,REM,43.57
12/3/2018,REM,43.78
12/4/2018,REM,43.26
12/6/2018,REM,43.61
12/7/2018,REM,43.49
12/10/2018,REM,43.27
12/11/2018,REM,43.17
12/12/2018,REM,42.97
12/13/2018,REM,42.87
12/14/2018,REM,43
12/17/2018,REM,40.61
12/18/2018,REM,40.87
12/19/2018,REM,40.53
12/20/2018,REM,39.21
12/21/2018,REM,39.15
12/24/2018,REM,38.44
12/26/2018,REM,40.01
12/27/2018,REM,40.2
12/28/2018,REM,40.4
