Trade DATE,Symbol,Close
4/27/2017,AMZN,918.38
4/28/2017,AMZN,924.99
5/1/2017,AMZN,948.23
5/2/2017,AMZN,946.94
5/3/2017,AMZN,941.03
5/4/2017,AMZN,937.53
5/5/2017,AMZN,934.15
5/8/2017,AMZN,949.04
5/9/2017,AMZN,952.82
5/10/2017,AMZN,948.95
5/11/2017,AMZN,947.62
5/12/2017,AMZN,961.35
5/15/2017,AMZN,957.97
5/16/2017,AMZN,966.07
5/17/2017,AMZN,944.76
5/18/2017,AMZN,958.49
5/19/2017,AMZN,959.84
5/22/2017,AMZN,970.67
5/23/2017,AMZN,971.54
5/24/2017,AMZN,980.35
5/25/2017,AMZN,993.38
5/26/2017,AMZN,995.78
5/30/2017,AMZN,996.7
5/31/2017,AMZN,994.62
6/1/2017,AMZN,995.95
6/2/2017,AMZN,1006.73
6/5/2017,AMZN,1011.34
6/6/2017,AMZN,1003
6/7/2017,AMZN,1010.07
6/8/2017,AMZN,1010.27
6/9/2017,AMZN,978.31
6/12/2017,AMZN,964.91
6/13/2017,AMZN,980.79
6/14/2017,AMZN,976.47
6/15/2017,AMZN,964.17
6/16/2017,AMZN,987.71
6/19/2017,AMZN,995.17
6/20/2017,AMZN,992.59
6/21/2017,AMZN,1002.23
6/22/2017,AMZN,1001.3
6/23/2017,AMZN,1003.74
6/26/2017,AMZN,993.98
6/27/2017,AMZN,976.78
6/28/2017,AMZN,990.33
6/29/2017,AMZN,975.93
6/30/2017,AMZN,968
7/3/2017,AMZN,953.66
7/5/2017,AMZN,971.4
7/6/2017,AMZN,965.14
7/7/2017,AMZN,978.76
7/10/2017,AMZN,996.47
7/11/2017,AMZN,994.13
7/12/2017,AMZN,1006.51
7/13/2017,AMZN,1000.63
7/14/2017,AMZN,1001.81
7/17/2017,AMZN,1010.04
7/18/2017,AMZN,1024.45
7/19/2017,AMZN,1026.87
7/20/2017,AMZN,1028.7
7/21/2017,AMZN,1025.67
7/24/2017,AMZN,1038.95
7/25/2017,AMZN,1039.87
7/26/2017,AMZN,1052.8
7/27/2017,AMZN,1046
7/28/2017,AMZN,1020.04
7/31/2017,AMZN,987.78
8/1/2017,AMZN,996.19
8/2/2017,AMZN,995.89
8/3/2017,AMZN,986.92
8/4/2017,AMZN,987.58
8/7/2017,AMZN,992.27
8/8/2017,AMZN,989.84
8/9/2017,AMZN,982.01
8/10/2017,AMZN,956.92
8/11/2017,AMZN,967.99
8/14/2017,AMZN,983.3
8/15/2017,AMZN,982.74
8/16/2017,AMZN,978.18
8/17/2017,AMZN,960.57
8/18/2017,AMZN,958.47
8/21/2017,AMZN,953.29
8/22/2017,AMZN,966.9
8/23/2017,AMZN,958
8/24/2017,AMZN,952.45
8/25/2017,AMZN,945.26
8/28/2017,AMZN,946.02
8/29/2017,AMZN,954.06
8/30/2017,AMZN,967.59
8/31/2017,AMZN,980.6
9/1/2017,AMZN,978.25
9/5/2017,AMZN,965.27
9/6/2017,AMZN,967.8
9/7/2017,AMZN,979.47
9/8/2017,AMZN,965.9
9/11/2017,AMZN,977.96
9/12/2017,AMZN,982.58
9/13/2017,AMZN,999.6
9/14/2017,AMZN,992.21
9/15/2017,AMZN,986.79
9/18/2017,AMZN,974.19
9/19/2017,AMZN,969.86
9/20/2017,AMZN,973.21
9/21/2017,AMZN,964.65
9/22/2017,AMZN,955.1
9/25/2017,AMZN,939.79
9/26/2017,AMZN,938.6
9/27/2017,AMZN,950.87
9/28/2017,AMZN,956.4
9/29/2017,AMZN,961.35
10/2/2017,AMZN,959.19
10/3/2017,AMZN,957.1
10/4/2017,AMZN,965.45
10/5/2017,AMZN,980.85
10/6/2017,AMZN,989.58
10/9/2017,AMZN,990.99
10/10/2017,AMZN,987.2
10/11/2017,AMZN,995
10/12/2017,AMZN,1000.93
10/13/2017,AMZN,1002.94
10/16/2017,AMZN,1006.34
10/17/2017,AMZN,1009.13
10/18/2017,AMZN,997
10/19/2017,AMZN,986.61
10/20/2017,AMZN,982.91
10/23/2017,AMZN,966.3
10/24/2017,AMZN,975.9
10/25/2017,AMZN,972.91
10/26/2017,AMZN,972.43
10/27/2017,AMZN,1100.95
10/30/2017,AMZN,1110.85
10/31/2017,AMZN,1105.28
11/1/2017,AMZN,1103.68
11/2/2017,AMZN,1094.22
11/3/2017,AMZN,1111.6
11/6/2017,AMZN,1120.66
11/7/2017,AMZN,1123.17
11/8/2017,AMZN,1132.88
11/9/2017,AMZN,1129.13
11/10/2017,AMZN,1125.35
11/13/2017,AMZN,1129.17
11/14/2017,AMZN,1136.84
11/15/2017,AMZN,1126.69
11/16/2017,AMZN,1137.29
11/17/2017,AMZN,1129.88
11/20/2017,AMZN,1126.31
11/21/2017,AMZN,1139.49
11/22/2017,AMZN,1156.16
11/24/2017,AMZN,1186
11/27/2017,AMZN,1195.83
11/28/2017,AMZN,1193.6
11/29/2017,AMZN,1161.27
11/30/2017,AMZN,1176.75
12/1/2017,AMZN,1162.35
12/4/2017,AMZN,1133.95
12/5/2017,AMZN,1141.57
12/6/2017,AMZN,1152.35
12/7/2017,AMZN,1159.79
12/8/2017,AMZN,1162
12/11/2017,AMZN,1168.92
12/12/2017,AMZN,1165.08
12/13/2017,AMZN,1164.13
12/14/2017,AMZN,1174.26
12/15/2017,AMZN,1179.14
12/18/2017,AMZN,1190.58
12/19/2017,AMZN,1187.38
